date,path_1,path_1_count,path_1_uniques,path_2,path_2_count,path_2_uniques,path_3,path_3_count,path_3_uniques,path_4,path_4_count,path_4_uniques,path_5,path_5_count,path_5_uniques,path_6,path_6_count,path_6_uniques,path_7,path_7_count,path_7_uniques,path_8,path_8_count,path_8_uniques,path_9,path_9_count,path_9_uniques,path_10,path_10_count,path_10_uniques
2026-09-20,/bmarolleau/ibmi-101/blob/main/IBMi-Complete-Developer-Guide-EN.md,1,1,/bmarolleau/ibmi-101/tree/main,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-20,/bmarolleau/ibmi-101/blob/main/IBMi-Complete-Developer-Guide-EN.md,1,1,/bmarolleau/ibmi-101/tree/main,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-21,/bmarolleau/ibmi-101/blob/main/IBMi-Complete-Developer-Guide-EN.md,1,1,/bmarolleau/ibmi-101/tree/main,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22,/bmarolleau/ibmi-101/blob/main/IBMi-Complete-Developer-Guide-EN.md,1,1,/bmarolleau/ibmi-101/tree/main,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-23,/bmarolleau/ibmi-101/blob/main/IBMi-Complete-Developer-Guide-EN.md,2,2,/bmarolleau/ibmi-101/tree/main,2,2,/bmarolleau/ibmi-101,1,1,/bmarolleau/ibmi-101/blob/main/.bob/mcp.json,1,1,/bmarolleau/ibmi-101/blob/main/tutorials/src/HELLOSRV.rpgle,1,1,/bmarolleau/ibmi-101/tree/main/.bob,1,1,/bmarolleau/ibmi-101/tree/main/.vscode,1,1,/bmarolleau/ibmi-101/tree/main/tutorials,1,1,/bmarolleau/ibmi-101/tree/main/tutorials/src,1,1,,,
2026-09-24,/bmarolleau/ibmi-101,19,13,/bmarolleau/ibmi-101/blob/main/IBMi-Complete-Developer-Guide-EN.md,10,8,/bmarolleau/ibmi-101/tree/main/tutorials,9,4,/bmarolleau/ibmi-101/blob/main/tutorials/episode-01-hello-world.md,6,4,/bmarolleau/ibmi-101/tree/main/tutorials/src,6,4,/bmarolleau/ibmi-101/blob/main/tutorials/src/HELLOSRV.rpgle,4,3,/bmarolleau/ibmi-101/blob/main/tutorials/episode-02-service-program.md,3,3,/bmarolleau/ibmi-101/tree/main,3,3,/bmarolleau/ibmi-101/tree/main/assets,3,1,/bmarolleau/ibmi-101/blob/main/README.md,2,2
