date,path_1,path_1_count,path_1_uniques,path_2,path_2_count,path_2_uniques,path_3,path_3_count,path_3_uniques,path_4,path_4_count,path_4_uniques,path_5,path_5_count,path_5_uniques,path_6,path_6_count,path_6_uniques,path_7,path_7_count,path_7_uniques,path_8,path_8_count,path_8_uniques,path_9,path_9_count,path_9_uniques,path_10,path_10_count,path_10_uniques
2026-08-30,/bmarolleau/IBM-i-Application-Modernization-with-Bob,90,47,/bmarolleau/IBM-i-Application-Modernization-with-Bob/tree/main,30,16,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/README.md,25,12,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab4-ibmi-mcp-mode.md,24,19,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab0-rpg-project-introduction.md,20,8,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab101-premium-discover-samco.md,19,9,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab100-premium-package-introduction.md,18,11,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab01_ibm-bob-ibmi-labs.md,14,6,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab00_ibm-bob-ibmi-labs.md,13,7,/bmarolleau/IBM-i-Application-Modernization-with-Bob/tree/main/SAMCO,13,6
2026-08-31,/bmarolleau/IBM-i-Application-Modernization-with-Bob,88,44,/bmarolleau/IBM-i-Application-Modernization-with-Bob/tree/main,30,17,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab4-ibmi-mcp-mode.md,24,19,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/README.md,23,10,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab0-rpg-project-introduction.md,21,9,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab100-premium-package-introduction.md,20,12,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab101-premium-discover-samco.md,20,10,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab01_ibm-bob-ibmi-labs.md,16,6,/bmarolleau/IBM-i-Application-Modernization-with-Bob/tree/main/SAMCO,14,7,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab00_ibm-bob-ibmi-labs.md,11,6
2026-09-01,/bmarolleau/IBM-i-Application-Modernization-with-Bob,88,44,/bmarolleau/IBM-i-Application-Modernization-with-Bob/tree/main,30,17,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab4-ibmi-mcp-mode.md,24,19,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/README.md,23,10,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab0-rpg-project-introduction.md,21,9,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab100-premium-package-introduction.md,20,12,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab101-premium-discover-samco.md,20,10,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab01_ibm-bob-ibmi-labs.md,16,6,/bmarolleau/IBM-i-Application-Modernization-with-Bob/tree/main/SAMCO,14,7,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab00_ibm-bob-ibmi-labs.md,11,6
2026-09-02,/bmarolleau/IBM-i-Application-Modernization-with-Bob,96,46,/bmarolleau/IBM-i-Application-Modernization-with-Bob/tree/main,33,18,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab4-ibmi-mcp-mode.md,25,20,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/README.md,25,10,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab0-rpg-project-introduction.md,23,11,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab01_ibm-bob-ibmi-labs.md,22,9,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab100-premium-package-introduction.md,20,12,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab101-premium-discover-samco.md,18,9,/bmarolleau/IBM-i-Application-Modernization-with-Bob/tree/main/SAMCO,15,8,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab00_ibm-bob-ibmi-labs.md,13,9
2026-09-03,/bmarolleau/IBM-i-Application-Modernization-with-Bob,121,61,/bmarolleau/IBM-i-Application-Modernization-with-Bob/tree/main,33,18,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab100-premium-package-introduction.md,32,19,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/README.md,27,14,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab01_ibm-bob-ibmi-labs.md,27,9,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab0-rpg-project-introduction.md,26,12,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab4-ibmi-mcp-mode.md,21,16,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab101-premium-discover-samco.md,19,11,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab00_ibm-bob-ibmi-labs.md,16,10,/bmarolleau/IBM-i-Application-Modernization-with-Bob/tree/main/SAMCO,16,9
2026-09-04,/bmarolleau/IBM-i-Application-Modernization-with-Bob,173,79,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab100-premium-package-introduction.md,66,30,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab101-premium-discover-samco.md,40,19,/bmarolleau/IBM-i-Application-Modernization-with-Bob/tree/main,37,21,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab01_ibm-bob-ibmi-labs.md,33,11,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab0-rpg-project-introduction.md,28,12,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab4-ibmi-mcp-mode.md,25,20,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/README.md,24,15,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab102-premium-fixed-to-free.md,19,9,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab00_ibm-bob-ibmi-labs.md,18,11
2026-09-05,/bmarolleau/IBM-i-Application-Modernization-with-Bob,183,82,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab100-premium-package-introduction.md,68,33,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab101-premium-discover-samco.md,41,18,/bmarolleau/IBM-i-Application-Modernization-with-Bob/tree/main,37,21,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab01_ibm-bob-ibmi-labs.md,37,11,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab0-rpg-project-introduction.md,26,12,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab4-ibmi-mcp-mode.md,25,20,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/README.md,23,15,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab00_ibm-bob-ibmi-labs.md,19,13,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab102-premium-fixed-to-free.md,19,9
2026-09-06,/bmarolleau/IBM-i-Application-Modernization-with-Bob,194,87,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab100-premium-package-introduction.md,71,34,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab01_ibm-bob-ibmi-labs.md,43,12,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab101-premium-discover-samco.md,42,17,/bmarolleau/IBM-i-Application-Modernization-with-Bob/tree/main,35,20,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab0-rpg-project-introduction.md,27,13,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab4-ibmi-mcp-mode.md,25,20,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/README.md,24,16,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab102-premium-fixed-to-free.md,21,9,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab00_ibm-bob-ibmi-labs.md,20,14
2026-09-07,/bmarolleau/IBM-i-Application-Modernization-with-Bob,198,89,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab100-premium-package-introduction.md,70,33,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab01_ibm-bob-ibmi-labs.md,43,12,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab101-premium-discover-samco.md,42,17,/bmarolleau/IBM-i-Application-Modernization-with-Bob/tree/main,35,20,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab0-rpg-project-introduction.md,29,14,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab4-ibmi-mcp-mode.md,25,20,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/README.md,24,16,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab102-premium-fixed-to-free.md,21,9,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab00_ibm-bob-ibmi-labs.md,20,14
2026-09-08,/bmarolleau/IBM-i-Application-Modernization-with-Bob,198,89,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab100-premium-package-introduction.md,70,33,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab01_ibm-bob-ibmi-labs.md,43,12,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab101-premium-discover-samco.md,42,17,/bmarolleau/IBM-i-Application-Modernization-with-Bob/tree/main,35,20,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab0-rpg-project-introduction.md,29,14,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab4-ibmi-mcp-mode.md,25,20,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/README.md,24,16,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab102-premium-fixed-to-free.md,21,9,/bmarolleau/IBM-i-Application-Modernization-with-Bob/blob/main/lab00_ibm-bob-ibmi-labs.md,20,14
